id,username,salary
1,IronMan92,$100.50
2,LunaGamer77,$75.25
3,ShadowNinja123,$200.00
4,DragonMasterX,$50.75
5,SpaceExplorer99,$300.30
6,PixelWizard,$150.00
7,MysterySeeker,$80.60
8,EternalDreamer,$400.20
9,SunnySideUp,$10.00
10,NeonPhantom,$50.00
11,CyberPunk99,$125.75
12,GalacticTraveler,$275.50
13,TechWizard,$90.25
14,MysticMage,$180.00
15,SamuraiWarrior,$200.60
16,StealthyAssassin,$450.20
17,CosmicExplorer,$15.00
18,DreamCatcher,$75.00
19,ArcaneSorcerer,$300.00
20,StarStrider,$500.00
21,NeoGamer,$110.00
22,TechNinja,$95.50
23,GalacticHero,$700.75
24,DreamWalker,$250.25
25,CyberMage,$180.80
26,SpacePilot,$600.00
27,TechSavvy,$50.50
28,VirtualWarrior,$175.00
29,DigitalNomad,$125.20
30,PixelPioneer,$300.40
